Filename	BibTex
introversion_extroversion	@misc{MIES_dataset,   title = {Development of the Multidimensional Introversion-Extraversion {ScalesX} [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/MIES_Dev_Data.zip}},   url = {http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
junyi_academy_problems	@dataset{chang2015problem,    title={Problem log, from Modeling Exercise Relationships in E-Learning: A Unified Approach},    author={Chang, Hao-Chuan and Hsu, Hsiu-Mei and Chen, Kuan-Yu},    year={2015},    url={https://pslcdatashop.web.cmu.edu/Files?datasetId=1198},    note={International Conference on Educational Data Mining (EDM)},    type={Data set} }
KanjiOAHaS_Inoue_2024	@misc{inoue2024assessing,   title={Assessing Handwriting Skills in a Web Browser: Development and Validation of an Automated Online Test in Japanese Kanji},   author={Inoue, T. and Chen, Y. and Ohyanagi, T.},   year={2024},   month={June},   day={19},   url={https://osf.io/gver2},   note={Retrieved from osf.io/gver2} }
mbft_anunciacao_2024	@misc{anunciacao2024personality,   author       = {Anunciacao, L.},   title        = {Personality - Murray and Big Five Theory},   year         = {2024},   month        = {December 13},   note         = {Retrieved from \url{https://osf.io/wkzan}} } 
Mental_Health_Questionnaire_for_the_Elderly	@article{wang2012anxiety,   title={Anxiety and Depression Among Older People Dwelling in Nursing Homes Versus Communities},   author={Wang, T and Tang, D and Gong, X and Wang, D},   journal={Chinese Journal of Clinical Psychology},   volume={20},   number={6},   pages={868--870},   year={2012},   url={http://www.cnsda.org/index.php?r=projects/view&id=60493698} }
mobility	@techreport{huq1990bangladesh,   title={Bangladesh Fertility Survey, 1989},   author={Huq, N. and Cleland, J.},   year={1990},   institution={National Institute of Population Research and Training (NIPORT)},   address={Dhaka},   url={https://cran.r-project.org/web/packages/ltm/index.html} }
mpsycho_wilpat	@misc{MPsychoR,   title = {MPsychoR: Modern Psychometrics with {R}},   author = {},   year = {},   url = {https://cran.r-project.org/web/packages/MPsychoR/index.html},   note = {CRAN R package repository},   organization = {CRAN} }
nbashots	@misc{Samangy2023NBAShots,     title = {NBA Shots 04 23},     author = {Samangy, Dom},     year = {2023},     publisher = {GitHub},     journal = {GitHub repository},     url = {https://github.com/DomSamangy/NBA_Shots_04_23} }
nerdy_personality	@misc{NPAS2015,   title = {Development of the {Nerdy} {Personality} {Attributes} {Scale} [dataset and codebook]},   year = {2015},   url = {http://openpsychometrics.org/tests/NPAS/development/},   urldate = {2023-12-11} }
neurips_2020	@article{wang2020diagnostic,   title={Diagnostic questions: The neurips 2020 education challenge},   author={Wang, Zichao and Lamb, Andrew and Saveliev, Evan and Cameron, Pashmina and Zaykov, Yordan and Hern{\\'a}ndez-Lobato, Jos{\\'e} Miguel and Turner, Richard E and Baraniuk, Richard G and Barton, Craig and Jones, Simon Peyton and Woodhead, Simon and Zhang, Cheng},   journal={arXiv preprint arXiv:2007.12061},   year={2020},   note={[data set]},   url={https://eedi.com/research#data} }
oli_psych_course	@misc{cheng2022gradebook,   author = {Cheng, Hao},   title = {Gradebook for {OLI} {Psych} course},   year = {2022},   note = {[dataset]},   publisher = {DataShop @ CMU},   url = {https://pslcdatashop.web.cmu.edu/Files?datasetId=5255} }
pact_project	@misc{vaughn2021pact8,   author = {Vaughn, Sharon and Swanson, Elizabeth and Roberts, Greg and Martinez, Leticia and Wanzek, Jeanne and Simmons, Deborah and Clemens, Nathan and Fogarty, Melissa},   title = {PACT8 2011-2012, PACT8 2012-2013, PACT11 2011-2012, PACT11 2012-2013, Vocabulary and Comprehension {(VoCO)} Project},   year = {2021},   howpublished = {LDbase},   url = {http://ldbase.org/datasets/7a353ad7-4859-47a0-8aad-000889fed91a} }
pirlsmissing_sirt	@Manual{Robitzsch2022,   title = {sirt: Supplementary Item Response Theory Models},   author = {Alexander Robitzsch},   year = {2022},   note = {R package version 3.12-66},   url = {https://CRAN.R-project.org/package=sirt} }
polca_election	@misc{NES2000,   title = {The 2000 National Election Study [dataset]},   author = {{The National Election Studies}},   year = {2000},   publisher = {University of Michigan, Center for Political Studies},   address = {Ann Arbor, MI},   url = {https://electionstudies.org/},   note = {Producer and distributor} }
preference_inventory	@article{wagner1985refined,   title={A refined neurobehavioral inventory of hemispheric preference},   author={Wagner, Rudolph F and Wells, Kelly A},   journal={Journal of clinical psychology},   volume={41},   number={5},   pages={671--676},   year={1985},   publisher={Wiley Online Library},   note={Dataset available at: \\url{http://openpsychometrics.org/_rawdata/Wagner.zip}} }
protestant_workethic	@misc{PWE_dataset,   title = {Protestant Work Ethic Scale [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/PWE_data.zip}},   note = {Accessed via http://openpsychometrics.org/_rawdata/},   year = {n.d.} }
psychoneurotic_inventory	@misc{WPI,   title = {Woodworth Psychoneurotic Inventory [dataset and codebook]},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/WPI.zip}},   note = {Accessed via \\url{http://openpsychometrics.org/_rawdata/}} }
psychtools_epi	@manual{eysenck1968manual,   title={Manual for the Eysenck Personality Inventory},   author={Eysenck, Hans J. and Eysenck, Sybil B. G.},   year={1968},   publisher={Educational and Industrial Testing Service},   address={San Diego, CA},   url={https://cran.r-project.org/web/packages/psychTools/index.html} }
psychtools_msq	@techreport{revelle1998personality,   title={Personality, motivation and cognitive performance: Final report to the Army Research Institute on contract MDA 903-93-K-0008},   author={Revelle, William and Anderson, K J},   year={1998},   institution={Army Research Institute},   url={https://www.personality-project.org/revelle/publications/ra.ari.98.pdf} }
psychtools_sai	@techreport{revelle1997personality,   title={Personality, motivation and cognitive performance: Final report to the Army Research Institute on contract MDA 903-93-K-0008},   author={Revelle, William and Anderson, Kristen Joan},   year={1997},   institution={Army Research Institute},   url={https://cran.r-project.org/web/packages/psychTools/index.html} }
PTAM_Kretzschmar_2017_MicroFIN	@article{kretzschmar2017re,   title={Re-evaluating the psychometric properties of {MicroFIN}: {A} multidimensional measurement of complex problem solving or a unidimensional reasoning test?},   author={Kretzschmar, Andr{\\'e} and Hacatrjana, Liena and Rascevska, Malgozata},   journal={Psychological Test and Assessment Modeling},   volume={59},   number={2},   pages={157--182},   year={2017},   url={https://osf.io/wp3z4/} }
PTAM_Kretzschmar_2017_Raven	@article{kretzschmar2017re,   title={Re-evaluating the psychometric properties of {MicroFIN}: {A} multidimensional measurement of complex problem solving or a unidimensional reasoning test?},   author={Kretzschmar, Andr{\\'e} and Hacatrjana, Liena and Rascevska, Malgozata},   journal={Psychological Test and Assessment Modeling},   volume={59},   number={2},   pages={157--182},   year={2017},   url={https://osf.io/wp3z4/} }
PTAM_Kretzschmar_2017_Reasoning	@article{kretzschmar2017re,   title={Re-evaluating the psychometric properties of {MicroFIN}: {A} multidimensional measurement of complex problem solving or a unidimensional reasoning test?},   author={Kretzschmar, Andr{\\'e} and Hacatrjana, Liena and Rascevska, Malgozata},   journal={Psychological Test and Assessment Modeling},   volume={59},   number={2},   pages={157--182},   year={2017},   url={https://osf.io/wp3z4/} }
ptam1_immer	@misc{immer,   title = {immer: Item Response Models for Multiple Ratings},   author = {},   year = {},   url = {https://cran.r-project.org/web/packages/immer/index.html},   note = {CRAN - Package immer},   organization = {CRAN} }
QADT_Kleka_2023	@misc{kleka_2024,   author = {Kleka, Pawel},   title = {Achieving mental wellness in school-aged children: {Validating} a questionnaire to measure developmental task completion ({QADT})},   year = {2024},   month = {mar},   url = {https://osf.io/6vqp3},   note = {Retrieved March 4, 2024} }
quantshort	@Manual{TestGardener2023,   title = {TestGardener: Optimal Analysis of Test and Rating Scale Data},   author = {James Ramsay},   year = {2023},   note = {R package version 3.1.4},   url = {https://CRAN.R-project.org/package=TestGardener} }
RDatasets_gssabortion	@misc{Rdatasets,     title = {R Datasets},     author = {Arelbundock, Vincent},     year = {2023},     url = {https://vincentarelbundock.github.io/Rdatasets/},     note = {Online repository of datasets from R packages} }
riasec	@misc{riasec2018,   title = {Holland Code {(RIASEC)} Test [dataset and codebook]},   year = {2018},   url = {http://openpsychometrics.org/_rawdata/RIASEC_data12Dec2018.zip},   howpublished = {\\url{http://openpsychometrics.org/_rawdata/}} }
rightwing_authoritariansim	@misc{altemeyer2015rwa,   author = {Altemeyer, B},   year = {2015},   title = {Right-wing {Authoritarianism} {Scale} [dataset and codebook]},   url = {https://openpsychometrics.org/_rawdata/RWAS.zip},   note = {Retrieved from http://openpsychometrics.org/_rawdata/} }
rollcall_house	@misc{lewis2023voteview,   title={Voteview: Congressional Roll-Call Votes Database},   author={Lewis, Jeffrey B. and Poole, Keith and Rosenthal, Howard and Boche, Adam and Rudkin, Aaron and Sonnet, Luke},   year={2023},   url={https://voteview.com/},   note={Accessed at https://voteview.com/articles/data_help_votes} }
rollcall_senate	@misc{lewis2023voteview,   title={Voteview: Congressional Roll-Call Votes Database},   author={Lewis, Jeffrey B. and Poole, Keith and Rosenthal, Howard and Boche, Adam and Rudkin, Aaron and Sonnet, Luke},   year={2023},   url={https://voteview.com/},   note={Accessed at https://voteview.com/articles/data_help_votes} }
rosenberg_selfesteem	@misc{roseberg2014,   title={Roseberg Self-Esteem Scale [dataset and codebook]},   author={Brennan, K. and Clark, C. and Shaver, P.},   year={2014},   url={http://openpsychometrics.org/_rawdata/RSE.zip},   note={In J. Simpson and W. Rholes, Attachment Theory and Close Relationships. New York: Guilford Press} }
sat12_wilson_2003	@misc{wood2003testfact, author = {Wood, R. and Wilson, D. T. and Gibbons, R. D. and Schilling, S. G. and Muraki, E. and Bock, R. D.}, title = {TESTFACT 4 for Windows: Test Scoring, Item Statistics, and Full-information Item Factor Analysis}, year = {2003}, type = {Computer software}, address = {Lincolnwood, IL}, publisher = {Scientific Software International} }
